Asset IP Address,Asset Names,Service Protocol,Service Port,Vulnerability Severity Level,Vulnerability Title,Vulnerability Description,Vulnerability Solution,Vulnerability Proof,Vulnerability CVE IDs,Vulnerability CVSS Score,Vulnerability Reference URLs,Exploit URLs,Asset OS Family,Asset OS Name,Asset OS Version,,,Vulnerability CVE IDs
10.20.22.92,ip-10-20-22-92.ap-southeast-1.compute.internal,ip,0,1,TCP timestamp response,"The remote host responded with a TCP timestamp. The TCP timestamp response can be used to approximate the remote host's uptime, potentially aiding in further attacks. Additionally, some operating systems can be fingerprinted based on the behavior of their TCP timestamps.","* Cisco
      Disable TCP timestamp responses on Cisco

      
       Run the following command to disable TCP timestamps: 

       no ip tcp timestamp 



 * FreeBSD
      Disable TCP timestamp responses on FreeBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Linux
      Disable TCP timestamp responses on Linux

      
       Set the value of net.ipv4.tcp_timestamps to 0 by running the following command: 

       sysctl -w net.ipv4.tcp_timestamps=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.ipv4.tcp_timestamps=0 



 * OpenBSD
      Disable TCP timestamp responses on OpenBSD

      
       Set the value of net.inet.tcp.rfc1323 to 0 by running the following command: 

       sysctl -w net.inet.tcp.rfc1323=0 

       Additionally, put the following value in the default sysctl configuration file, generally sysctl.conf: 

       net.inet.tcp.rfc1323=0 



 * Microsoft Windows NT, Microsoft Windows NT Workstation, Microsoft Windows NT Server, Microsoft Windows NT Advanced Server, Microsoft Windows NT Server, Enterprise Edition, Microsoft Windows NT Server, Terminal Server Edition, Microsoft Windows 95, Microsoft Windows 98, Microsoft Windows 98SE, Microsoft Windows ME, Microsoft Windows 2000, Microsoft Windows 2000 Professional, Microsoft Windows 2000 Server, Microsoft Windows 2000 Advanced Server, Microsoft Windows 2000 Datacenter Server, Microsoft Windows XP, Microsoft Windows XP Home, Microsoft Windows XP Professional, Microsoft Windows XP Tablet PC Edition, Microsoft Windows CE, Microsoft Windows Server 2003, Microsoft Windows Server 2003, Standard Edition, Microsoft Windows Server 2003, Enterprise Edition, Microsoft Windows Server 2003, Datacenter Edition, Microsoft Windows Server 2003, Web Edition, Microsoft Windows Small Business Server 2003, Microsoft Windows Server 2003 R2, Microsoft Windows Server 2003 R2, Standard Edition, Microsoft Windows Server 2003 R2, Enterprise Edition, Microsoft Windows Server 2003 R2, Datacenter Edition, Microsoft Windows Server 2003 R2, Web Edition, Microsoft Windows Small Business Server 2003 R2, Microsoft Windows Server 2003 R2, Express Edition, Microsoft Windows Server 2003 R2, Workgroup Edition
      Disable TCP timestamp responses on Windows versions before Vista

      
       Set the Tcp1323Opts value in the following key to 1: 

       HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters 



 * Microsoft Windows Server 2008, Microsoft Windows Server 2008 Standard Edition, Microsoft Windows Server 2008 Enterprise Edition, Microsoft Windows Server 2008 Datacenter Edition, Microsoft Windows Server 2008 HPC Edition, Microsoft Windows Server 2008 Web Edition, Microsoft Windows Server 2008 Storage Edition, Microsoft Windows Small Business Server 2008, Microsoft Windows Essential Business Server 2008, Microsoft Windows Server 2008 R2, Microsoft Windows Server 2008 R2, Standard Edition, Microsoft Windows Server 2008 R2, Enterprise Edition, Microsoft Windows Server 2008 R2, Datacenter Edition, Microsoft Windows Server 2008 R2, Web Edition, Microsoft Windows Server 2012, Microsoft Windows Server 2012 Standard Edition, Microsoft Windows Server 2012 Foundation Edition, Microsoft Windows Server 2012 Essentials Edition, Microsoft Windows Server 2012 Datacenter Edition, Microsoft Windows Storage Server 2012, Microsoft Windows Vista, Microsoft Windows Vista Home, Basic Edition, Microsoft Windows Vista Home, Basic N Edition, Microsoft Windows Vista Home, Premium Edition, Microsoft Windows Vista Ultimate Edition, Microsoft Windows Vista Enterprise Edition, Microsoft Windows Vista Business Edition, Microsoft Windows Vista Business N Edition, Microsoft Windows Vista Starter Edition, Microsoft Windows 7, Microsoft Windows 7 Home, Basic Edition, Microsoft Windows 7 Home, Basic N Edition, Microsoft Windows 7 Home, Premium Edition, Microsoft Windows 7 Home, Premium N Edition, Microsoft Windows 7 Ultimate Edition, Microsoft Windows 7 Ultimate N Edition, Microsoft Windows 7 Enterprise Edition, Microsoft Windows 7 Enterprise N Edition, Microsoft Windows 7 Professional Edition, Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter N Edition, Microsoft Windows 8, Microsoft Windows 8 Enterprise Edition, Microsoft Windows 8 Professional Edition, Microsoft Windows 8 RT, Microsoft Windows Longhorn Server Beta
      Disable TCP timestamp responses on Windows versions since Vista

      
       TCP timestamps cannot be reliably disabled on this OS. If TCP timestamps present enough of a risk, put a firewall capable of blocking TCP timestamp packets in front of the affected assets.",Able to determine system boot time.,,0,,,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2022-30556
10.29.16.20,ip-10-29-16-20.ap-southeast-1.compute.internal,udp,53,5,Nameserver Processes Recursive Queries,"Allowing nameservers to process recursive queries coming from any system may, in certain situations, help attackers conduct denial of service or cache poisoning attacks.","Restrict Processing of Recursive Queries


 Restrict the processing of recursive queries to only systems that should be allowed to use this nameserver.","Nameserver resolved www.google.com to:
 * www.google.com. 264 IN A 172.217.194.103

 * www.google.com. 264 IN A 172.217.194.104

 * www.google.com. 264 IN A 172.217.194.105

 * www.google.com. 264 IN A 172.217.194.106

 * www.google.com. 264 IN A 172.217.194.147

 * www.google.com. 264 IN A 172.217.194.99",,5,,,Linux Linux,Linux LINUX ,4.2,,,CVE-2022-28615
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,Apache: CVE-2023-31122: mod_macro buffer over-read,Out-of-bounds Read vulnerability in mod_macro of Apache HTTP Server.This issue affects Apache HTTP Server: through 2.4.57.,"Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTPS service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-31122,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-28614
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,Apache: CVE-2023-27522: Apache HTTP Server: mod_proxy_uwsgi HTTP response splitting,HTTP Response Smuggling vulnerability in Apache HTTP Server via mod_proxy_uwsgi&lt;/code&gt;. This issue affects Apache HTTP Server: from 2.4.30 through 2.4.55.Special characters in the origin response header can truncate/split the response forwarded to the client.,"Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTP service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-27522,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-28330
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,Apache: CVE-2023-27522: Apache HTTP Server: mod_proxy_uwsgi HTTP response splitting,HTTP Response Smuggling vulnerability in Apache HTTP Server via mod_proxy_uwsgi&lt;/code&gt;. This issue affects Apache HTTP Server: from 2.4.30 through 2.4.55.Special characters in the origin response header can truncate/split the response forwarded to the client.,"Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTPS service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-27522,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-26377
10.30.48.4,ip-10-30-48-4.ap-southeast-1.compute.internal,ip,0,5,Apache Tomcat: Important: Request mix-up with h2c (CVE-2021-25122),"When responding to new h2c connection requests, Apache Tomcat versions 10.0.0-M1 to 10.0.0, 9.0.0.M1 to 9.0.41 and 8.5.0 to 8.5.61 could duplicate request headers and a limited amount of request body from one request to another meaning user A and user B could both see the results of user A's request.","* Apache Tomcat >= 10.0 and < 10.0.2
      Upgrade to Apache Tomcat version 10.0.2

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-10/v10.0.2/ 


 * Apache Tomcat >= 8.5 and < 8.5.63
      Upgrade to Apache Tomcat version 8.5.63

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-8/v8.5.63/ 


 * Apache Tomcat >= 9.0 and < 9.0.43
      Upgrade to Apache Tomcat version 9.0.43

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-9/v9.0.43/",Vulnerable software installed: Apache Tomcat 9.0.12,CVE-2021-25122,5,https://security-tracker.debian.org/tracker/DSA-4891,,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2022-23943
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,25,7,X.509 Server Certificate Is Invalid/Expired,The TLS/SSL server's X.509 certificate either contains a start date in the future or is expired. Please refer to the proof for more details.,"Replace TLS/SSL server X.509 certificate


 Obtain a new certificate and install it on the server. The exact instructions for obtaining a new certificate depend on your organization's requirements. Generally, you will need to generate a certificate request and save the request as a file. This file is then sent to a Certificate Authority (CA) for processing. Please ensure that the start date and the end date on the new certificate are valid. 

 Your organization may have its own internal Certificate Authority. If not, you may have to pay for a certificate from a trusted external Certificate Authority. 

 After you have received a new certificate file from the Certificate Authority, you will have to install it on the TLS/SSL server. The exact instructions for installing a certificate differ for each product. Please follow their documentation.","The certificate is not valid after Wed, 26 Apr 2023 07:39:18 UTC",,6.8,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-22720
10.28.11.29,ip-10-28-11-29.ap-southeast-1.compute.internal,tcp,22,4,SSH Server Supports Weak Key Exchange Algorithms,The server supports one or more weak key exchange algorithms. It is highly adviseable to remove weak key exchange algorithm support from SSH configuration files on hosts to prevent them from being used to establish connections.,"Disable weak Key Exchange Algorithms


Refer to  this guide (https://wiki.mozilla.org/Security/Guidelines/OpenSSH)  on what KEX algorithms to permit in your SSH configuration.","* Running SSH service

 * Insecure key exchange algorithms in use: diffie-hellman-group-exchange-sha1",,4.3,,,Linux Linux,Linux LINUX ,4.2,,,CVE-2022-22719
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,80,4,Apache: CVE-2023-25690: HTTP request splitting with mod_rewrite and mod_proxy,"Some mod_proxy configurations on Apache HTTP Server versions 2.4.0 through 2.4.55 allow a HTTP Request Smuggling attack.Configurations are affected when mod_proxy is enabled along with some form of RewriteRule or ProxyPassMatch in which a non-specific pattern matches some portion of the user-supplied request-target (URL) data and is then re-inserted into the proxied request-target using variable substitution. For example, something like:RewriteEngine onRewriteRule ""^/here/(.*)"" ""http://example.com:8080/elsewhere?$1""; [P]ProxyPassReverse /here/ http://example.com:8080/Request splitting/smuggling could result in bypass of access controls in the proxy server, proxying unintended URLs to existing origin servers, and cache poisoning.","Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTP service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-25690,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-2097
10.18.13.9,ip-10-18-13-9.ap-southeast-1.compute.internal,tcp,443,4,Apache: CVE-2023-25690: HTTP request splitting with mod_rewrite and mod_proxy,"Some mod_proxy configurations on Apache HTTP Server versions 2.4.0 through 2.4.55 allow a HTTP Request Smuggling attack.Configurations are affected when mod_proxy is enabled along with some form of RewriteRule or ProxyPassMatch in which a non-specific pattern matches some portion of the user-supplied request-target (URL) data and is then re-inserted into the proxied request-target using variable substitution. For example, something like:RewriteEngine onRewriteRule ""^/here/(.*)"" ""http://example.com:8080/elsewhere?$1""; [P]ProxyPassReverse /here/ http://example.com:8080/Request splitting/smuggling could result in bypass of access controls in the proxy server, proxying unintended URLs to existing origin servers, and cache poisoning.","Upgrade to the latest version of Apache HTTPD

Download and apply the upgrade from:  https://httpd.apache.org/download.cgi 


Many platforms and distributions provide pre-built binary packages for Apache HTTP server. These pre-built packages are usually customized and optimized for a particular distribution, therefore we recommend that you use the packages if they are available for your operating system.","* Running HTTPS service

 * Product HTTPD exists -- Apache HTTPD 2.4.37

 * Vulnerable version of product HTTPD found -- Apache HTTPD 2.4.37",CVE-2023-25690,4.4,,,Red Hat Linux,Red Hat Enterprise Linux,,,,CVE-2022-2068
10.30.48.4,ip-10-30-48-4.ap-southeast-1.compute.internal,ip,0,4,Apache Tomcat: Low: XSS in SSI printenv (CVE-2019-0221),"The SSI printenv command in Apache Tomcat 9.0.0.M1 to 9.0.0.17, 8.5.0 to 8.5.39 and 7.0.0 to 7.0.93 echoes user provided data without escaping and is, therefore, vulnerable to XSS. SSI is disabled by default. The printenv command is intended for debugging and is unlikely to be present in a production website.","* Apache Tomcat >= 7.0 and < 7.0.94
      Upgrade to Apache Tomcat version 7.0.94

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-7/v7.0.94/ 


 * Apache Tomcat >= 8.5 and < 8.5.40
      Upgrade to Apache Tomcat version 8.5.40

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-8/v8.5.40/ 


 * Apache Tomcat >= 9.0 and < 9.0.19
      Upgrade to Apache Tomcat version 9.0.19

      Download and apply the upgrade from:  http://archive.apache.org/dist/tomcat/tomcat-9/v9.0.19/",Vulnerable software installed: Apache Tomcat 9.0.12,CVE-2019-0221,4.3,"http://www.securityfocus.com/bid/108545,https://security-tracker.debian.org/tracker/DSA-4596,https://access.redhat.com/errata/RHSA-2019-3929,https://access.redhat.com/errata/RHSA-2019-3931",http://www.exploit-db.com/exploits/50119,Linux Linux,Linux LINUX 2.6.32 OR 3.10,2.6.32,,,CVE-2022-1292
